交差点番号,管理者名,交差点名,地先名,緯度,経度
624051F001,北海道開発局 函館開発建設部,,上ノ国町字大留,41.8036942592453 ,140.1216888427730 
624051F003,201362,,上ノ国町字小森,41.7702874579056 ,140.1292419433590 
6240530003,渡島総合振興局 函館建設管理部,,北斗市湯の沢,41.8245175917241 ,140.4527282050710 
6240540015,渡島総合振興局 函館建設管理部,,北斗市茂辺地１丁目２５０番１地先,41.7632454899415 ,140.6038856506350 
6240540018,北海道開発局 函館開発建設部,,北斗市字茂辺地２１５番１,41.7629894038148 ,140.6044006347660 
6240540032,201236,,北斗市添山１５６,41.8338861882048 ,140.6181335449220 
6240540048,201236,,北斗市三好８５,41.8171288666711 ,140.6181335449220 
6240540050,201236,,北斗市水無４８,41.8200713092495 ,140.6193351745610 
6240540059,北海道開発局 函館開発建設部,,北斗市富川町,41.8051018264333 ,140.6212234497070 
6240540060,北海道開発局 函館開発建設部,北斗富川ＩＣ,北斗市富川,41.8054857030270 ,140.6195068359370 
6240540067,北海道開発局 函館開発建設部,北斗茂辺地ＩＣ,北斗市茂辺地,41.7679828989321 ,140.5922126770020 
6240540068,北海道開発局 函館開発建設部,茂辺地,北斗市茂辺地,41.7659343325656 ,140.5901527404780 
6240540076,渡島総合振興局 函館建設管理部,,北斗市茂辺地四丁目６４０番１２地先,41.7655502190897 ,140.5997657775880 
6240540077,渡島総合振興局 函館建設管理部,,北斗市茂辺地６６９番１地先,41.7651661033141 ,140.5994224548340 
6240540095,北海道開発局 函館開発建設部,北斗茂辺地ＩＣ,北斗市茂辺地,41.7620930943224 ,140.5872344970700 
624054F001,201236,,北斗市大工川３２８番地先,41.8348049050990 ,140.6203539248250 
6240550003,201236,,北斗市添山６４,41.8267232897566 ,140.6294631958010 
6240550012,渡島総合振興局 函館建設管理部,,北斗市飯生二丁目６,41.8194316593201 ,140.6414794921870 
6240550013,渡島総合振興局 函館建設管理部,,北斗市飯生二丁目６,41.8189199347763 ,140.6418228149410 
6240550014,渡島総合振興局 函館建設管理部,,北斗市飯生二丁目３,41.8182802733461 ,140.6419944763180 
6240550040,渡島総合振興局 函館建設管理部,,北斗市久根別２丁目,41.8263395404352 ,140.6665420532230 
6240550041,北海道開発局 函館開発建設部,,北斗市七重浜８丁目,41.8240369962029 ,140.6667137146000 
6240550044,北海道開発局 函館開発建設部,,北斗市七重浜八丁目２６,41.8221181460878 ,140.6850814819340 
6240550058,渡島総合振興局 函館建設管理部,,函館市入舟町,41.7715677326735 ,140.7010459899900 
6240550061,渡島総合振興局 函館建設管理部,,函館市入舟町,41.7733600744208 ,140.7010459899900 
6240550062,函館市,,函館市弁天町２０番８３,41.7740001843360 ,140.7010459899900 
6240550070,函館市,,函館市入舟町３番２５,41.7740001843360 ,140.7024192810060 
6240550072,渡島総合振興局 函館建設管理部,,函館市入舟町,41.7733600744208 ,140.7024192810060 
6240550073,函館市,,函館市入舟町９番７,41.7720798354260 ,140.7024192810060 
6240550086,函館市,,函館市船見町１２番２,41.7688791261482 ,140.7034492492680 
6240550123,渡島総合振興局 函館建設管理部,,函館市弁天町１８,41.7722078604753 ,140.7056808471680 
6240550136,函館市,,函館市弁天町２２,41.7728479818892 ,140.7063674926760 
6240550138,201236,,北斗市七重浜二丁目４１,41.8175126711962 ,140.7065391540530 
6240550141,渡島総合振興局 函館建設管理部,,函館市弁天町,41.7718237845608 ,140.7065391540530 
6240550160,渡島総合振興局 函館建設管理部,,函館市弁天町１５－１９,41.7711836529261 ,140.7073974609370 
6240550184,渡島総合振興局 函館建設管理部,,北斗市七重浜２丁目,41.8170009313183 ,140.7087707519530 
6240550188,函館市,,函館市弁天町２６番１号,41.7725919340902 ,140.7089424133300 
6240550200,函館市,,函館市弁天町１６番１５,41.7746402878631 ,140.7094573974610 
6240550242,渡島総合振興局 函館建設管理部,,函館市弁天町１４,41.7672146942102 ,140.7113456726080 
6240550246,函館市,,函館市谷地頭町２,41.7555105744194 ,140.7116474176030 
6240550256,函館市,,函館市大町１０,41.7538976841588 ,140.7116889953610 
6240550272,函館市,,函館市元町３,41.7679828989321 ,140.7122039794920 
6240550273,函館市,,函館市港町３丁目１９番５号,41.7623491840264 ,140.7128906250000 
6240550278,函館市,,函館市谷地頭町８,41.8088799626248 ,140.7130636569210 
6240550282,函館市,,函館市元町２,41.7617089578502 ,140.7134056091310 
6240550289,函館市,,函館市谷地頭町１２,41.7535134986290 ,140.7135772705080 
6240550294,函館市,,函館市元町１,41.7609406780068 ,140.7139205932620 
6240550299,渡島総合振興局 函館建設管理部,,函館市元町１９,41.7604284863344 ,140.7144355773930 
6240550302,函館市,,函館市谷地頭町１２,41.7533854362746 ,140.7144355773930 
6240550307,北海道開発局 函館開発建設部,,函館市大町,41.7663184437419 ,140.7146072387700 
6240550310,渡島総合振興局 函館建設管理部,,函館市元町１９,41.7599162905737 ,140.7147789001470 
6240550323,函館市,,函館市谷地頭町２６,41.7531293107995 ,140.7152938842770 
6240550329,渡島総合振興局 函館建設管理部,,函館市青柳町１３,41.7601723889651 ,140.7156372070310 
