city,geojson_url,source_page
河東郡音更町,https://www.geospatial.jp/ckan/dataset/588abaf6-89ba-4a10-b1df-e533bc055691/resource/576abda7-1dc5-4324-a281-6c5dda1fdc4a/download/01631__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01631
河東郡士幌町,https://www.geospatial.jp/ckan/dataset/f546b6a0-9911-4fc4-821b-9358420eb577/resource/c7455d24-ec9c-4dc1-968e-5e2c7bc34604/download/01632__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01632
河東郡上士幌町,https://www.geospatial.jp/ckan/dataset/74546ca2-37fa-40a1-8177-ecb831e262c3/resource/fbf3b99f-f7f1-41df-9cc9-ecbe72267da3/download/01633__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01633
河東郡鹿追町,https://www.geospatial.jp/ckan/dataset/c36a3c83-579d-490c-a020-ea79ba4b9834/resource/52153512-daeb-42dc-8e3a-7e8ea7c2d96b/download/01634__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01634
上川郡新得町,https://www.geospatial.jp/ckan/dataset/11069ad9-8890-4726-979a-80ab7d281f56/resource/c2bf844e-5c59-4cd4-a813-bf87ace6137e/download/01635__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01635
上川郡清水町,https://www.geospatial.jp/ckan/dataset/29a45912-44ba-47da-bbbc-b7c3832a55cf/resource/6c5276f1-ed73-4c0c-a215-265a9939b14b/download/01636__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01636
河西郡芽室町,https://www.geospatial.jp/ckan/dataset/408a04f4-f6ba-4f38-8a26-24f2741c6e1c/resource/8303c092-dfab-4640-bad5-846578bf2a19/download/01637__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01637
河西郡中札内村,https://www.geospatial.jp/ckan/dataset/ac7b034f-0b73-4d83-8b5d-c47edda84484/resource/64ea6fcc-83fa-454f-8dca-966c7a3d73f4/download/01638__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01638
河西郡更別村,https://www.geospatial.jp/ckan/dataset/fea3f333-eab6-41b0-b3ec-206f74e8b28c/resource/edebed5c-cbb8-4fe1-9023-d2c8bdf41b86/download/01639__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01639
広尾郡大樹町,https://www.geospatial.jp/ckan/dataset/20551f6b-e948-444a-a670-846fbda3c3b9/resource/8f6dbf63-9227-41e8-9689-cabf680615b4/download/01641__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01641
広尾郡広尾町,https://www.geospatial.jp/ckan/dataset/9d2f08f1-88eb-4d1b-b1cc-1dd5b55ccd78/resource/9656c2da-3ff3-411b-a6c3-b156a60808bb/download/01642__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01642
中川郡幕別町,https://www.geospatial.jp/ckan/dataset/273397d4-69e9-4462-b65e-0e64949fa097/resource/75189113-6a9b-4c58-ab5d-0927b48cca13/download/01643__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01643
中川郡池田町,https://www.geospatial.jp/ckan/dataset/4e9da799-9467-48f2-9c25-3e7cc6e21d96/resource/d7615d57-56a9-476c-a54f-1dd39c68bd9e/download/01644__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01644
中川郡豊頃町,https://www.geospatial.jp/ckan/dataset/9f09e337-11b7-4932-a14b-773868b37135/resource/2cf12700-05b3-4b7b-b169-1cbe8df20800/download/01645__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01645
中川郡本別町,https://www.geospatial.jp/ckan/dataset/20e8e4c0-0e70-4b66-b8e6-96150c5335ac/resource/8084db76-69c2-4a3d-a0a0-40fe68bf11a6/download/01646__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01646
足寄郡足寄町,https://www.geospatial.jp/ckan/dataset/e19697b9-8451-4922-bbcf-034ae9d67429/resource/467f6b32-9470-43eb-994f-361d22939a5f/download/01647__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01647
足寄郡陸別町,https://www.geospatial.jp/ckan/dataset/202a7d89-e580-4102-92fe-f26e1a5bb2f8/resource/76551c09-186e-4c70-bd08-643ba6559220/download/01648__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01648
十勝郡浦幌町,https://www.geospatial.jp/ckan/dataset/e7b3c9e2-3ff4-4d3b-9e82-f005289d2dea/resource/9df12102-5672-4e41-9b8c-fbd2a9e808b1/download/01649__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01649
釧路郡釧路町,https://www.geospatial.jp/ckan/dataset/1e431b44-246d-4e4d-9ef0-4b18ad4331c4/resource/a5e94c91-4bab-4986-aaa4-f80e916f9128/download/01661__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01661
厚岸郡厚岸町,https://www.geospatial.jp/ckan/dataset/d9e1f432-3af0-4660-9615-3d2bb46dd5c8/resource/2ff654db-e865-453a-8cc6-10b2ee867d3c/download/01662__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01662
厚岸郡浜中町,https://www.geospatial.jp/ckan/dataset/9d88c9a7-742b-4e94-88b0-399c8d0f9ede/resource/6018f4d5-93c6-43ff-8621-181b43ef2764/download/01663__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01663
川上郡標茶町,https://www.geospatial.jp/ckan/dataset/41709c9a-38be-4d47-a9f7-a9170978e586/resource/0b9f3c41-f888-4cb0-a040-ca8f299f8517/download/01664__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01664
川上郡弟子屈町,https://www.geospatial.jp/ckan/dataset/24d0aa14-e3b8-4d3a-bf9f-423f2b699d98/resource/8d400e17-1b2e-4d91-b4cb-42488f1d79e8/download/01665__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01665
阿寒郡鶴居村,https://www.geospatial.jp/ckan/dataset/bf947ca0-429b-4a7d-8afc-7a4c0ecac024/resource/0d9338be-c240-473a-8ea9-ccfadbc863a2/download/01667__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01667
白糠郡白糠町,https://www.geospatial.jp/ckan/dataset/6c5ea12d-a650-4f3e-b937-9ee152c6af02/resource/65c3da0b-12a7-4e02-b25f-58e9ef368098/download/01668__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01668
野付郡別海町,https://www.geospatial.jp/ckan/dataset/048f483b-b707-4876-b3cd-95c706e13b8a/resource/f9f5e7a0-0627-4442-b650-e756127c80f6/download/01691__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01691
標津郡中標津町,https://www.geospatial.jp/ckan/dataset/f73cdac0-eb37-4323-a657-f2f8d8bd7715/resource/86ef4044-2bf7-4928-bf5e-061e030544f5/download/01692__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01692
標津郡標津町,https://www.geospatial.jp/ckan/dataset/3bb286cf-422b-4c44-8756-a3ff397f1d7c/resource/432d89dc-6cc2-4948-b4a8-40027cdd9382/download/01693__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01693
目梨郡羅臼町,https://www.geospatial.jp/ckan/dataset/58b0a250-b928-40c5-b114-862b7cfbef77/resource/9231f9e6-dc2e-4200-a9f2-67ec7a33219c/download/01694__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01694
