小字名,市区町村名,地番,予備名,center_lng,center_lat
字ペンケクンベツ原野基線,足寄郡陸別町,道-14,,143.785506,43.410983
字ペンケクンベツ原野基線,足寄郡陸別町,47-1,,143.785392,43.411565
字ペンケクンベツ原野基線,足寄郡陸別町,48-3,,143.78524,43.410924
字ペンケクンベツ原野基線,足寄郡陸別町,44-11,,143.785025,43.410906
字ペンケクンベツ原野基線,足寄郡陸別町,43-2,,143.785088,43.411147
字ペンケクンベツ原野基線,足寄郡陸別町,44-16,,143.784294,43.410826
字ペンケクンベツ原野基線,足寄郡陸別町,44-3,,143.784695,43.410336
字ペンケクンベツ原野基線,足寄郡陸別町,水-7,,143.784552,43.410077
字ペンケクンベツ原野基線,足寄郡陸別町,48-4,,143.785447,43.410299
字ペンケクンベツ原野基線,足寄郡陸別町,44-17,,143.785068,43.410642
字ペンケクンベツ原野基線,足寄郡陸別町,48-5,,143.785914,43.41071
字ペンケクンベツ原野基線,足寄郡陸別町,48-1,,143.785934,43.410388
字ペンケクンベツ,足寄郡陸別町,42-2,,143.785379,43.409334
字ペンケクンベツ原野基線,足寄郡陸別町,44-2,,143.783855,43.410017
字ペンケクンベツ原野基線,足寄郡陸別町,44-15,,143.782593,43.410748
字ペンケクンベツ,足寄郡陸別町,38,,143.779957,43.409545
字ペンケクンベツ,足寄郡陸別町,37,,143.780894,43.410159
字ペンケクンベツ原野基線,足寄郡陸別町,42-3,,143.781378,43.410675
字ペンケクンベツ原野基線,足寄郡陸別町,道-35,,143.781753,43.410602
字ペンケクンベツ原野基線,足寄郡陸別町,44-8,,143.781914,43.410881
字ペンケクンベツ原野基線,足寄郡陸別町,43-3,,143.782338,43.411329
字ペンケクンベツ原野基線,足寄郡陸別町,道-36,,143.781821,43.411331
字ペンケクンベツ原野基線,足寄郡陸別町,41-4,,143.781656,43.411464
字ペンケクンベツ原野基線,足寄郡陸別町,42-4,,143.781574,43.411008
字ペンケクンベツ原野基線,足寄郡陸別町,道-12,,143.779941,43.41127
字ペンケクンベツ原野基線,足寄郡陸別町,41-2,,143.78122,43.41137
字ペンケクンベツ原野基線,足寄郡陸別町,44-1,,143.783441,43.410843
字ペンケクンベツ原野基線,足寄郡陸別町,道-13,,143.783702,43.411079
字ペンケクンベツ原野基線,足寄郡陸別町,43-1,,143.783577,43.411641
字ペンケクンベツ原野基線,足寄郡陸別町,水-6,,143.776448,43.411786
字ペンケクンベツ原野基線,足寄郡陸別町,49-7,,143.790792,43.410863
字ペンケクンベツ原野基線,足寄郡陸別町,49-4,,143.790527,43.410993
字ペンケクンベツ原野基線,足寄郡陸別町,49-14,,143.789707,43.411182
字ペンケクンベツ原野基線,足寄郡陸別町,49-2,,143.789034,43.411503
字ペンケクンベツ原野基線,足寄郡陸別町,49-13,,143.789948,43.411695
字ペンケクンベツ原野基線,足寄郡陸別町,49-5,,143.789053,43.411035
字ペンケクンベツ原野基線,足寄郡陸別町,50-3,,143.788882,43.410474
字ペンケクンベツ原野基線,足寄郡陸別町,50-1,,143.789743,43.409618
字ペンケクンベツ,足寄郡陸別町,43,,143.791427,43.408676
字ペンケクンベツ原野基線,足寄郡陸別町,50-2,,143.791156,43.41019
字ペンケクンベツ原野基線,足寄郡陸別町,水-8,,143.790783,43.409814
字ペンケクンベツ原野基線,足寄郡陸別町,道-15,,143.790435,43.410731
字ペンケクンベツ,足寄郡陸別町,44,,143.792317,43.408917
字ペンケクンベツ原野基線,足寄郡陸別町,49-11,,143.791422,43.411099
字ペンケクンベツ原野基線,足寄郡陸別町,49-10,,143.791609,43.411409
字ペンケクンベツ原野基線,足寄郡陸別町,49-3,,143.790841,43.411778
字ペンケクンベツ原野基線,足寄郡陸別町,49-1,,143.791532,43.412367
字ペンケクンベツ原野基線,足寄郡陸別町,35-16,,143.776422,43.418077
字上利別,足寄郡陸別町,31-1,,143.7424,43.422606
字上利別,足寄郡陸別町,31-2,,143.735996,43.42436
字上利別,足寄郡陸別町,34,,143.738443,43.421105
字上利別,足寄郡陸別町,33-3,,143.732224,43.422344
字上利別,足寄郡陸別町,33-2,,143.731597,43.42104
字上利別,足寄郡陸別町,33-1,,143.733772,43.421258
字上利別,足寄郡陸別町,14-3,,143.729726,43.4199
字上利別,足寄郡陸別町,水-60,,143.729402,43.4195
字ペンケクンベツ,足寄郡陸別町,水-4,,143.72944,43.419177
字上利別,足寄郡陸別町,15-29,,143.727409,43.420006
