小字名,市区町村名,地番,大字名,center_lng,center_lat
字荷負,沙流郡平取町,無地番-2027,,142.219313,42.671784
字荷負,沙流郡平取町,142-5,,142.219432,42.67177
字荷負,沙流郡平取町,142-4,,142.219034,42.671847
字荷負,沙流郡平取町,143-6,,142.219259,42.671581
字荷負,沙流郡平取町,143-12,,142.219425,42.671455
字荷負,沙流郡平取町,374-1,,142.219193,42.670963
字荷負,沙流郡平取町,無地番-2025,,142.217005,42.670919
字荷負,沙流郡平取町,318-1,,142.219293,42.67143
字荷負,沙流郡平取町,143-10,,142.21711,42.671887
字荷負,沙流郡平取町,142-3,,142.218557,42.671765
字荷負,沙流郡平取町,143-11,,142.218435,42.671701
字荷負,沙流郡平取町,375-2,,142.218583,42.671632
字荷負,沙流郡平取町,375-3,,142.218431,42.671658
字荷負,沙流郡平取町,142-6,,142.218932,42.672229
字荷負,沙流郡平取町,長狭物不明-2054,,142.216437,42.673884
字荷負,沙流郡平取町,142-2,,142.218429,42.672143
字荷負,沙流郡平取町,141-5,,142.217695,42.672647
字荷負,沙流郡平取町,141-7,,142.217652,42.672973
字荷負,沙流郡平取町,146-14,,142.217874,42.673173
字荷負,沙流郡平取町,無地番-2028,,142.218055,42.673074
字荷負,沙流郡平取町,147-22,,142.218455,42.673043
字荷負,沙流郡平取町,147-21,,142.218182,42.673046
字荷負,沙流郡平取町,142-1,,142.218089,42.672634
字荷負,沙流郡平取町,142-7,,142.218332,42.672698
字荷負,沙流郡平取町,147-2,,142.218767,42.672745
字荷負,沙流郡平取町,147-1,,142.218805,42.673029
字荷負,沙流郡平取町,147-19,,142.219197,42.672281
字荷負,沙流郡平取町,147-20,,142.21922,42.67225
字荷負,沙流郡平取町,147-9,,142.219793,42.672307
字荷負,沙流郡平取町,147-4,,142.21978,42.672416
字荷負,沙流郡平取町,147-3,,142.219189,42.672523
字荷負,沙流郡平取町,148-1,,142.219839,42.672095
字荷負,沙流郡平取町,150-1,,142.22218,42.673074
字荷負,沙流郡平取町,148-4,,142.221197,42.672704
字荷負,沙流郡平取町,148-5,,142.221919,42.671166
字荷負,沙流郡平取町,148-8,,142.22336,42.672096
字荷負,沙流郡平取町,148-6,,142.222404,42.672841
字荷負,沙流郡平取町,150-12,,142.222936,42.672993
字荷負,沙流郡平取町,148-7,,142.222867,42.673009
字荷負,沙流郡平取町,150-5,,142.22299,42.672914
字荷負,沙流郡平取町,150-6,,142.224804,42.672568
字荷負,沙流郡平取町,150-13,,142.224189,42.672371
字荷負,沙流郡平取町,150-16,,142.225179,42.673083
字荷負,沙流郡平取町,151-1,,142.22684,42.672829
字荷負,沙流郡平取町,151-2,,142.225851,42.67219
字荷負,沙流郡平取町,151-3,,142.226029,42.671915
字荷負,沙流郡平取町,149-7,,142.225095,42.671352
字荷負,沙流郡平取町,149-6,,142.224542,42.670625
字荷負,沙流郡平取町,149-5,,142.225551,42.67065
字荷負,沙流郡平取町,366,,142.224365,42.669774
字荷負,沙流郡平取町,365-4,,142.224116,42.669908
字荷負,沙流郡平取町,365-1,,142.225089,42.670155
字荷負,沙流郡平取町,365-3,,142.225263,42.669709
字荷負,沙流郡平取町,201-9,,142.223945,42.668616
字荷負,沙流郡平取町,368-1,,142.225307,42.668809
字荷負,沙流郡平取町,149-2,,142.22475,42.66964
字荷負,沙流郡平取町,145-5,,142.225294,42.669481
