Rosen_Code,Rosen_Name
"00000100034000","長崎自動車道"
"00000100034001","長崎自動車道（複線０１）"
"00000100034002","長崎自動車道"
"00000100034003","長崎自動車道　多久ＩＣランプ部"
"00000100034004","長崎自動車道　東そのぎＩＣランプ部"
"00000100034005","長崎自動車道　諫早ＩＣランプ部"
"00000100034006","長崎自動車道　長崎多良見ＩＣ出口ランプ部"
"00000100035000","大分自動車道"
"00000100035001","東九州自動車道"
"00000100036000","八戸自動車道"
"00000100036002","八戸自動車道（複線０２）"
"00000100036999","八戸自動車道"
"00000100037000","高知自動車道"
"00000100038000","高松自動車道"
"00000100038001","高松自動車道（坂出バリア複線０１）"
"00000100038002","高松自動車道＜さぬき豊中ＩＣランプ部＞"
"00000100038003","高松自動車道＜大野原ＩＣランプ部＞"
"00000100038004","高松自動車道＜津田東ＩＣランプ部＞"
"00000100039000","徳島自動車道"
"00000100039002","徳島自動車道（複線０２）"
"00000100040000","徳島南部自動車道"
"00000100042000","新宮紀宝道路"
"00000100042001","新宮紀宝道路"
"00000100049000","磐越自動車道"
"00000100049001","磐越自動車道"
"00000100049002","磐越自動車道"
"00000100049003","磐越自動車道（複線３）"
"00000100050000","新東名高速道路"
"00000100050001","新東名高速道路（清水連絡路　複線０１）"
"00000100050002","新東名高速道路"
"00000100050003","島田金谷ＩＣランプ線"
"00000100050004","森掛川ＩＣランプ線"
"00000100050005","浜松いなさＩＣランプ線"
"00000100050006","新東名高速道路"
"00000100050007","藤枝岡部ＩＣランプ線"
"00000100050008","新東名高速道路・引佐連絡路"
"00000100050009","新東名高速道路"
"00000100050010","新東名高速道路"
"00000100050011","新東名高速道路浜松ＳＡスマートＩＣ（上りランプ）"
"00000100050012","新東名高速道路浜松ＳＡスマートＩＣ（下りランプ）"
"00000100050013","新東名高速道路　清水いはらＩＣ（ランプ部）"
"00000100050014","新東名高速道路"
"00000100050015","新東名高速道路"
"00000100051000","札樽自動車道"
"00000100051001","後志自動車道"
"00000100051012","高速自動車国道　５０号線　新東名高速道路"
"00000100051112","札樽自動車道"
"00000100052000","道東自動車道"
"00000100052001","道東自動車道（複線０１）"
"00000100052002","北海道横断自動車道黒松内釧路線"
"00000100052003","北海道横断自動車道黒松内北見線"
"00000100052004","北海道横断自動車道黒松内北見線"
"00000100052104","道東自動車道"
"00000100052105","道東自動車道"
"00000100052106","道東自動車道"
"00000100052108","道東自動車道"
"00000100052110","道東自動車道"
"00000100071000","名古屋第二環状自動車道"
"00000100071001","名古屋第二環状自動車道"
"00000100071002","名古屋第二環状自動車道"
"00000100071003","名古屋第二環状自動車道"
"00000100071005","名古屋第二環状自動車道"
"00000100071006","名古屋第二環状自動車道"
"00000100071007","東名阪自動車道"
"00000100071008","東名阪自動車道"
"00000100071009","東名阪自動車道"
"00000100071010","名古屋第二環状自動車道"
"00000100071011","名古屋第二環状自動車道"
"00000100071012","東名阪自動車道"
"00000100072000","阪和自動車道"
"00000100072001","阪和自動車道（複線０１）"
"00000100072002","阪和自動車道（複線０２）"
"00000100072003","阪和自動車道"
"00000100072005","紀勢自動車道（複線０５）"
"00000100072006","紀勢自動車道（複線０６）"
"00000100072007","紀勢自動車道（複線０７）"
"00000100072008","紀勢自動車道（複線０８）"
"00000100072009","紀勢自動車道（複線０９）"
"00000100072010","紀勢自動車道（複線１０）"
"00000100072011","紀勢自動車道（複線１１）"
"00000100073000","関西空港自動車道"
"00000100073001","関西空港自動車道（複線０１）"
"00000100078000","東九州自動車道"
"00000100078001","高速自動車国道７８号複線１"
"00000100080000","関越自動車道"
"00000100080001","関越自動車道（複線０１）"
"00000100080003","関越自動車道（複線０３）"
"00000100080004","関越自動車道"
"00000100080005","関越自動車道"
"00000100080077","関越自動車道取付道路７７号線"
"00000100090000","沖縄自動車道"
"00000100090001","沖縄自動車道（複線０１）"
"00000100101000","中央自動車道富士吉田線"
"00000100101001","中央自動車道富士吉田線　富士吉田西桂ＳＩＣ"
"00000100111000","松山自動車道"
"00000100111001","高速自動車国道１１１号複線１"
"00000100111002","松山自動車道"
"00000100111003","高速自動車国道１１１号（０３）"
"00000100111004","松山自動車道（複線０４）"
"00000100111005","松山自動車道（複線０５）"
"00000100112000","東海北陸自動車道"
"00000100112001","東海北陸自動車道（複線０１）"
"00000100112002","東海北陸自動車道（複線０２）"
"00000100113000","長野自動車道"
"00000100113001","長野自動車道　梓川ＳＩＣ　下り"
"00000100113002","長野自動車道　梓川ＳＩＣ　上り"
"00000100114000","山形自動車道"
"00000100114001","山形自動車道"
"00000100114002","高速自動車国道１１４号複線１"
"00000100114003","山形自動車道（複線３）"
"00000100121000","新空港自動車道"
"00000100122000","館山自動車道"
"00000100122001","館山自動車道（複線０１）"
"00000100122002","館山自動車道（複線０２）"
"00000100190000","舞鶴若狭自動車道"
"00000100190001","舞鶴若狭自動車道（複線０１）"
"00000100190002","舞鶴若狭自動車道＜三田西ＩＣランプ部＞"
"00000100197000","紀勢自動車道"
"00000100197001","近畿自動車道紀勢線（新直轄区間　複線０１）"
"00000100197002","紀勢線（新直轄区間）海山ＩＣランプ"
"00000100197003","紀勢線（新直轄区間）海山ＩＣ　Ｅランプ"
"00000100198000","伊勢自動車道"
"00000100199000","近畿自動車道"
"00000100199001","近畿自動車道（複線０１）"
"00000100307000","新名神高速道路"
"00000100307001","新名神高速道路"
"00000100307002","新名神高速道路（複線０２）"
"00000100307003","新名神高速道路（複線０３）"
"00000100307004","新名神高速道路"
"00000100330000","東京外環自動車道"
"00000100330001","戸田西ＩＣ（外環・複線０１）"
"00000100330002","戸田東ＩＣ（外環・複線０２）"
"00000100330003","外環浦和ＩＣ（外環・複線０３）"
"00000100330004","川口西ＩＣ（外環・複線０４）"
"00000100330005","川口中央ＩＣ（外環・複線０５）"
"00000100330006","川口東ＩＣ（外環・複線０６）"
"00000100330007","草加ＩＣ（西）（外環・複線０７）"
"00000100330008","草加ＩＣ（東）（外環・複線０８）"
"00000300001000","首都高速１号"
"00000300001001","首都高速１号（複線０１）"
"00000300001002","首都高速１号（複線０２）"
"00000300002000","首都高速２号"
"00000300002001","首都高速２号（複線０１）"
"00000300002002","首都高速２号（複線０２）"
"00000300003000","首都高速３号"
"00000300004000","首都高速４号"
"00000300004001","首都高速４号（複線０１）"
"00000300004002","首都高速４号（複線０２）"
"00000300005000","首都高速５号"
"00000300005001","首都高速５号池袋線（複線０１）"
"00000300005003","首都高速５号（複線０３）"
"00000300005004","首都高速５号（複線０４）"
"00000300005005","高速５号池袋線（複線５）"
"00000300005006","高速５号池袋線（複線６）"
"00000300006000","首都高速６号"
"00000300006001","首都高速６号（複線０１）"
"00000300006002","首都高速６号（複線０２）"
"00000300007000","首都高速７号小松川線"
"00000300007001","高速７号小松川線（複線１）"
"00000300008000","首都高速８号"
"00000300009000","首都高速９号深川線"
"00000300009001","首都高速９号（複線０１）"
"00000300009002","首都高速９号（複線０２）"
"00000300010000","首都高速１０号晴海線"
"00000300011000","首都高速１１号台場線"
"00000300012000","首都高速１２号"
"00000300012002","首都高速１２号（複線０２）"
"00000300021000","首都高速２１号"
"00000300021002","都市高速道２１号（複線０２）"
"00000300022000","高速神奈川２号三ツ沢線"
"00000300023000","高速神奈川５号大黒線"
"00000300024000","高速神奈川３号狩場線"
"00000300024001","高速神奈川３号狩場線（複線１）"
"00000300024002","高速神奈川３号狩場線（複線２）"
"00000300024003","高速神奈川３号狩場線（複線３）"
"00000300024004","高速神奈川３号狩場線（複線４）"
"00000300024005","高速神奈川３号狩場線（複線０５）"
"00000300024006","高速神奈川３号狩場線（複線０６）"
"00000300024007","高速神奈川３号狩場線（複線７）"
"00000300025000","高速神奈川６号川崎線"
"00000300026000","高速神奈川７号横浜北線"
"00000300027000","高速神奈川７号横浜北西線"
"00000300027001","高速神奈川７号横浜北西線（複線１）"
"00000300031000","高速湾岸線"
"00000300031001","高速湾岸線（複線１）"
"00000300031002","高速湾岸八潮連結路（複線２）"
"00000300031003","都市高速３１号（０３）"
"00000300031004","高速湾岸線（複線４）"
"00000300031005","首都高速３１号湾岸線"
"00000300031006","首都高速３１号　湾岸線"
"00000300032000","首都高速湾岸分岐線"
"00000300041000","首都高速川口線"
"00000300041001","首都高速４１号（複線１）"
"00000300042000","首都高速４２号"
"00000300042001","首都高速中央環状線（複線０１）"
"00000300042002","首都高速４２号（複線０２）"
"00000300042003","首都高速４２号（複線０３）"
"00000300043000","首都高速中央環状線"
"00000300043001","首都高速中央環状線（複線０１）"
"00000300044000","首都高速中央環状線"
"00000300044001","首都高速中央環状線"
"00000300051000","首都高速５１号"
"00000300071000","高速さいたま戸田線"
"00000300071001","高速さいたま戸田線（複線０１）"
"00000300071002","高速さいたま戸田線（複線０２）"
"00000300101000","１１号池田線"
"00000300101001","１号環状線（複線０１）"
"00000300101002","１１号池田線木部出入路線（複線０２）"
"00000300101003","１１号池田線池田出入路線（複線０３）"
"00000300101004","１１号池田線"
"00000300102000","１号環状線"
"00000300102001","環状線（複線０１）"
"00000300102002","１号環状線（複線０２）"
"00000300102003","１号環状線（複線０３）"
"00000300102004","１号環状線（複線０４）"
"00000300103000","１２号守口線"
"00000300103001","１２号守口線（複線０１）"
"00000300103002","１２号守口線（複線０２）"
"00000300103003","都市高速道１０３号線１２号守口線"
"00000300105000","１３号東大阪線"
"00000300106000","１５号堺線"
"00000300106001","１５号堺線（複線０１）"
"00000300106002","１５号堺線（複線０２）"
"00000300107000","１７号西大阪線"
"00000300108000","１４号松原線"
"00000300109000","４号湾岸線"
"00000300109001","４号湾岸線天保山出路線（複線０１）"
"00000300109002","４号湾岸線助松出入路線（複線０２）"
"00000300109003","４号湾岸線（複線０３）"
"00000300109004","４号湾岸線（複線０４）"
"00000300110000","３号神戸線"
"00000300110001","３号神戸線（複線０１）"
"00000300110002","３号神戸線（複線０２）"
"00000300110003","３号神戸線（複線０３）"
"00000300110004","３号神戸線（複線０４）"
"00000300111000","３号神戸線"
"00000300111001","３号神戸線西長堀出入路線（複線０１）"
"00000300112000","７号北神戸線"
"00000300112001","箕谷出入路線（複線０１）"
"00000300112002","７号北神戸線箕谷出入路線（複線０２）"
