Rosen,Kyori,S_Kosaten,E_Kosaten,Kiten_Kyori,Bunri,Encho,Hankei,Kudari,Nobori,Kudari_Nobori,Mawari,Kudari_J11,Nobori_J11,Kudari_J12,Nobori_J12,Kudari_J13,Nobori_J13,Kudari_J21,Nobori_J21,Kudari_J22,Nobori_J22,Kudari_J23,Nobori_J23,Kudari_J31,Nobori_J31,Kudari_J32,Nobori_J32,Kudari_J33,Nobori_J33,Kudari_J4,Nobori_J4,Chisaki_Knj
200040000,0,6841050175,6841050085,0.0,1,0.078000002,100.0,9.5,9.5,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,稚内市潮見４丁目
200040000,0,6841050173,6841050175,0.0,1,0.045000002,100.0,9.5,9.5,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,稚内市潮見５丁目
200040000,12,6741560013,6741560075,0.012,2,0.168,150.0,5.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,豊富町字上サロベツ
200040000,247,6841050032,6841050235,0.24699999,1,0.059,120.5,8.5,8.5,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,稚内市港２丁目２２１３－８
200040000,9333,6742020003,6742000006,9.3330002,2,0.041000001,100.0,2.75,2.75,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,音威子府村おさ島
200040001,2266,6642520161,6642520160,2.266,2,0.14,200.0,3.5,3.5,0.0,0,1,1,2,2,3,3,1,1,2,2,3,3,1,1,1,1,3,3,1,1,美深町字敷島
200040003,88,6642430463,6642430462,0.088,1,0.035,45.0,3.25,3.25,0.0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,名寄市砺波（Ａランプ）
200040004,89,674146F001,6741460089,0.089000002,2,0.088,100.0,3.0,3.0,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,幌延町字幌延
200044000,12,6444331655,6444340004,0.012,2,0.248,200.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,2,2,3,3,1,1,釧路町別保東
200044000,1232,6444460009,6444460011,1.232,2,0.19,200.0,3.25,3.25,0.0,1,2,2,3,3,3,3,1,1,3,3,3,3,1,1,2,2,3,3,1,1,厚岸町宮園町
200044000,1524,6444331956,6444331654,1.524,2,0.16,140.0,3.5,3.5,0.0,1,2,2,3,3,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,釧路町字別保原野南二十五線５７
200044000,6395,6445610003,6445620003,6.395,2,0.109,200.0,3.25,3.25,0.0,1,2,2,3,3,3,3,1,1,3,3,3,3,1,1,2,2,3,3,1,1,根室市厚床
200044000,6566,6445610003,6445620003,6.566,2,0.113,200.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,2,2,3,3,1,1,根室市厚床
200044000,12603,6444450011,6444460009,12.603,2,0.207,180.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,厚岸町門静
200227000,368,6240610063,6240610064,0.368,2,0.223,120.0,3.54,3.75,0.0,0,2,2,3,3,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,江差町泊１０１４－２
200227000,412,6240610086,6240610063,0.412,2,0.223,138.0,3.5,3.5,0.0,0,2,2,3,3,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,江差町伏木戸町１３２
200227000,3105,6240610088,6240710021,3.105,2,0.086000003,150.0,3.5,4.0,0.0,0,1,1,2,2,3,3,1,1,1,1,3,3,1,1,1,1,3,3,1,1,厚沢部町富栄７９９－１
200227000,8975,6240650008,6240720004,8.9750004,2,0.39399999,200.0,3.25,3.25,0.0,1,2,2,3,3,3,3,1,1,3,3,3,3,1,1,2,2,3,3,1,1,北斗市台場山
200227000,31072,6240650008,6240720004,31.072001,2,0.115,150.0,3.54,3.7,0.0,0,1,1,3,3,3,3,1,1,2,2,3,3,1,1,1,1,3,3,1,1,厚沢部町鶉２６５
200229000,8943,6440220003,6440120005,8.9429998,2,0.029999999,100.0,3.0,3.0,0.0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,寿都町字歌棄町美谷
200229000,9021,6440530003,6440440006,9.0209999,2,0.18799999,183.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,神恵内村字泊村
200229000,13490,6440620004,6440530003,13.49,2,0.085000001,78.0,2.75,2.75,0.0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,神恵内村字神恵内
200229000,15822,6339470019,6339260005,15.822,2,0.015,80.0,3.0,3.0,0.0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,せたな町宮野９１－２
200229000,16516,6340100004,6240710002,16.516001,2,0.193,150.0,3.0,3.0,0.0,1,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,乙部町元和１１２
200230000,0,6340760060,6340760011,0.0,2,0.122,100.0,3.25,3.25,0.0,0,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,洞爺湖町成香
200230000,0,6440170061,6440170027,0.0,2,0.38,165.0,3.25,6.75,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,喜茂別町字喜茂別
200230000,0,6440070019,6440060034,0.0,2,0.20999999,100.0,3.25,3.25,0.0,0,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,留寿都村字留寿都
200230000,198,6340500040,6340500029,0.198,2,0.043000001,50.0,3.0,3.0,0.0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,今金町北住吉１０
200230000,276,6340500029,6340500044,0.27599999,2,0.083999999,70.0,2.75,2.75,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,今金町種川３０５
200230000,763,6440170028,6440170029,0.76300001,2,0.19499999,150.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,喜茂別町字尻別
200230000,923,6340500003,6339570039,0.92299998,2,0.097999997,100.0,3.0,3.0,0.0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,今金町神丘
200230000,1260,6440060034,6440060035,1.26,2,0.20999999,100.0,3.25,3.25,0.0,0,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,留寿都村字三ノ原
200230000,1278,6440060035,6340760071,1.278,2,0.163,100.0,3.25,3.25,0.0,0,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,洞爺湖町大原１５２
200230000,1300,6340520003,6340520027,1.3,2,0.34099999,200.0,3.5,3.5,0.0,1,1,1,2,2,3,3,1,1,2,2,3,3,1,1,1,1,3,3,1,1,長万部町字国縫２４９
200230000,1334,6340500003,6339570039,1.334,2,0.28799999,100.0,3.0,3.0,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,今金町神丘
200230000,1915,6441200002,6440170061,1.915,2,0.38,165.0,3.25,6.75,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,喜茂別町南区喜茂別町界
200230000,2303,6340500040,6340500029,2.303,2,0.207,150.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,今金町字種川
200230000,3732,6340760011,6340760076,3.7320001,2,0.122,100.0,3.25,3.25,0.0,1,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,洞爺湖町月浦
200230001,192,6340660237,6340660235,0.192,1,0.2,65.0,4.0,4.6999998,0.0,0,5,3,5,3,5,5,3,2,3,3,5,3,3,2,3,3,5,3,2,2,洞爺湖町三豊
200231000,0,6441730007,6541030003,0.0,2,0.176,120.0,3.0,3.0,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,石狩市厚田区虹が原
200231000,3,6441620415,6441620439,0.003,1,0.35699999,150.0,10.5,7.0,0.0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,石狩市生振
200231000,181,6541640024,6541750544,0.18099999,2,0.152,150.0,3.25,3.25,0.0,1,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,増毛町大字阿分村字萱泊
200231000,216,6541530003,6541630003,0.21600001,2,0.148,150.0,3.0,3.0,0.0,0,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,増毛町岩尾村字湯泊
200231000,1200,6541640022,6541640024,1.2,2,0.17299999,200.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,2,2,3,3,1,1,増毛町大字阿分村
200231000,1829,6541630003,6541640101,1.829,2,0.067000002,200.0,3.0,3.0,0.0,0,3,3,3,3,3,3,2,2,3,3,3,3,1,1,3,3,3,3,1,1,増毛町大字別苅村字古茶内
200231000,10799,6541030003,6541230003,10.799,2,0.164,100.0,3.25,3.25,0.0,1,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,石狩市濃昼
200231000,10963,6541030003,6541230003,10.963,2,0.18700001,100.0,0.0,0.0,5.0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,石狩市濃昼
200232000,0,6541750499,6541750500,0.0,1,0.048999999,160.0,9.5,6.5,0.0,0,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,留萌市元川町１丁目
200232000,0,6641350040,6641350004,0.0,2,0.02,50.0,3.25,3.25,0.0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,苫前町字苫前
200232000,115,6641350005,6641350040,0.115,2,0.0099999998,50.0,3.25,3.25,0.0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,苫前町字苫前
200232000,3291,6641350007,6641150007,3.2909999,2,0.029999999,170.0,3.25,3.25,0.0,1,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,苫前町字力昼
200236000,3958,6342160007,6342160005,3.9579999,2,0.257,160.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,浦河町字東町
200236000,6989,6343410001,6343300005,6.9889998,2,0.061999999,120.0,3.25,3.25,0.0,0,3,3,3,3,3,3,2,2,3,3,3,3,1,1,3,3,3,3,1,1,広尾町字上豊似
200236000,7857,6343300005,6343200005,7.8569999,2,0.068000004,100.0,3.25,3.25,0.0,1,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,浦河町字上杵臼
200236000,13356,6343200005,6342270005,13.356,2,0.097999997,60.0,3.25,3.25,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,浦河町字上杵臼
200237000,0,6442230005,6442230002,0.0,2,0.045000002,160.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,日高町新町二丁目
