KANRI_OFFICE_CD,KJ_NM,地整コード,管理都道府県コード
"1430558400","中日本高速道路株式会社　飯田保全・サービスセンター",5,20
"1430558500","中日本高速道路株式会社　多治見保全・サービスセンター",5,21
"1430558600","中日本高速道路株式会社　羽島保全・サービスセンター",5,21
"1430558700","中日本高速道路株式会社　彦根保全・サービスセンター",6,25
"1430559000","中日本高速道路株式会社　岐阜保全・サービスセンター",5,21
"1430559100","中日本高速道路株式会社　桑名保全・サービスセンター",5,24
"1430559200","中日本高速道路株式会社　津高速道路事務所",5,24
"1430559300","中日本高速道路株式会社　高山保全・サービスセンター",5,21
"143056","西日本高速道路株式会社　関西支社",0,27
"1430568000","西日本高速道路株式会社　京都高速道路事務所",6,26
"1430568100","西日本高速道路株式会社　大阪高速道路事務所",6,27
"1430568200","西日本高速道路株式会社　阪奈高速道路事務所",6,27
"1430568300","西日本高速道路株式会社　和歌山高速道路事務所",6,30
"1430568400","西日本高速道路株式会社　福知山高速道路事務所",6,26
"1430568600","西日本高速道路株式会社　福崎高速道路事務所",6,28
"1430568700","西日本高速道路株式会社　姫路高速道路事務所",6,28
"1430568800","西日本高速道路株式会社　滋賀高速道路事務所",6,25
"1430569200","西日本高速道路株式会社　第二神明道路管理事務所",6,28
"1430569400","西日本高速道路株式会社　神戸高速道路事務所",6,28
"1430569600","西日本高速道路株式会社　亀岡高速道路事務所",6,26
"143057","中日本高速道路株式会社　金沢支社",4,17
"1430578600","中日本高速道路株式会社　富山保全・サービスセンター",4,16
"1430578700","中日本高速道路株式会社　金沢保全・サービスセンター",4,17
"1430578900","中日本高速道路株式会社　福井保全・サービスセンター",6,18
"1430579000","中日本高速道路株式会社　敦賀保全・サービスセンター",6,18
"143058","西日本高速道路株式会社　九州支社",0,40
"1430588000","西日本高速道路株式会社　下関管理事務所",9,35
"1430588100","西日本高速道路株式会社　北九州高速道路事務所",9,40
"1430588200","西日本高速道路株式会社　久留米高速道路事務所",9,40
"1430588300","西日本高速道路株式会社　熊本管理事務所",9,43
"1430588400","西日本高速道路株式会社　熊本高速道路事務所",9,43
"1430588600","西日本高速道路株式会社　鹿児島高速道路事務所",9,46
"1430588700","西日本高速道路株式会社　宮崎高速道路事務所",9,45
"1430588800","西日本高速道路株式会社　長崎高速道路事務所",9,42
"1430588900","西日本高速道路株式会社　佐賀高速道路事務所",9,41
"1430589100","西日本高速道路株式会社　大分高速道路事務所",9,44
"1430589200","西日本高速道路株式会社　沖縄高速道路事務所",10,47
"1430589600","西日本高速道路株式会社　延岡工事事務所",9,45
"143100","独立行政法人日本高速道路保有・債務返済機構　関西業務部管理課",6,27
"144001","首都高速道路株式会社　本社",0,13
"144051","首都高速道路株式会社　東京西局",3,13
"144052","首都高速道路株式会社　東京東局",3,11
"144060","首都高速道路株式会社　神奈川局",3,14
"145001","阪神高速道路株式会社　本社",0,27
"145050","阪神高速道路株式会社　管理本部",6,27
"145052","阪神高速道路株式会社　管理本部（神戸）",6,28
"149001","本州四国連絡高速道路株式会社",0,28
"1490010100","本州四国連絡高速道路株式会社　岡山管理センター　車両通行対策室",6,33
"1490010200","本州四国連絡高速道路株式会社　鳴門管理センター",8,36
"1490010300","本州四国連絡高速道路株式会社　岡山管理センター",7,33
"1490010400","本州四国連絡高速道路株式会社　坂出管理センター",8,37
"1490010500","本州四国連絡高速道路株式会社　しまなみ尾道管理センター",7,34
"1490010600","本州四国連絡高速道路株式会社　しまなみ今治管理センター",8,38
"201","北海道庁",1,1
"201051","北海道　空知総合振興局　札幌建設管理部",1,1
"201052","北海道　後志総合振興局　小樽建設管理部",1,1
"201053","北海道　渡島総合振興局　函館建設管理部",1,1
"201054","北海道　胆振総合振興局　室蘭建設管理部",1,1
"201055","北海道　上川総合振興局　旭川建設管理部",1,1
"201056","北海道　留萌振興局　留萌建設管理部",1,1
"201057","北海道　宗谷総合振興局　稚内建設管理部",1,1
"201058","北海道　オホーツク総合振興局　網走建設管理部",1,1
"201059","北海道　十勝総合振興局　帯広建設管理部",1,1
"201060","北海道　釧路総合振興局　釧路建設管理部",1,1
"201100","札幌市",1,1
"201202","函館市",1,1
"201203","小樽市",1,1
"201204","旭川市",1,1
"201205","室蘭市",1,1
"201206","釧路市",1,1
"201207","帯広市",1,1
"201208","北見市",1,1
"201209","夕張市",1,1
"201210","岩見沢市",1,1
"201211","網走市",1,1
"201212","留萌市",1,1
"201213","苫小牧市",1,1
"201214","稚内市",1,1
"201215","美唄市",1,1
"201216","芦別市",1,1
"201217","江別市",1,1
"201218","赤平市",1,1
"201219","紋別市",1,1
"201220","士別市",1,1
"201221","名寄市",1,1
"201222","三笠市",1,1
"201223","根室市",1,1
"201224","千歳市",1,1
"201225","滝川市",1,1
"201226","砂川市",1,1
"201227","歌志内市",1,1
"201228","深川市",1,1
"201229","富良野市",1,1
"201230","登別市",1,1
"201231","恵庭市",1,1
"201233","伊達市",1,1
"201234","北広島市",1,1
"201235","石狩市",1,1
"201236","北斗市",1,1
"201303","当別町",1,1
"201304","新篠津村",1,1
"201331","松前町",1,1
"201332","福島町",1,1
"201333","知内町",1,1
"201334","木古内町",1,1
"201337","七飯町",1,1
"201343","鹿部町",1,1
"201345","森町",1,1
"201346","八雲町",1,1
"201347","長万部町",1,1
"201361","江差町",1,1
"201362","上ノ国町",1,1
"201363","厚沢部町",1,1
"201364","乙部町",1,1
"201367","奥尻町",1,1
"201370","今金町",1,1
"201371","せたな町",1,1
"201391","島牧村",1,1
"201392","寿都町",1,1
"201393","黒松内町",1,1
"201394","蘭越町",1,1
"201395","ニセコ町",1,1
"201396","真狩村",1,1
"201397","留寿都村",1,1
"201398","喜茂別町",1,1
"201399","京極町",1,1
"201400","倶知安町",1,1
"201401","共和町",1,1
"201402","岩内町",1,1
"201403","泊村",1,1
"201404","神恵内村",1,1
"201405","積丹町",1,1
"201406","古平町",1,1
"201407","仁木町",1,1
"201408","余市町",1,1
"201409","赤井川村",1,1
"201423","南幌町",1,1
"201424","奈井江町",1,1
"201425","上砂川町",1,1
"201427","由仁町",1,1
"201428","長沼町",1,1
"201429","栗山町",1,1
"201430","月形町",1,1
"201431","浦臼町",1,1
"201432","新十津川町",1,1
"201433","妹背牛町",1,1
"201434","秩父別町",1,1
"201436","雨竜町",1,1
"201437","北竜町",1,1
"201438","沼田町",1,1
"201439","幌加内町",1,1
"201452","鷹栖町",1,1
"201453","東神楽町",1,1
"201454","当麻町",1,1
"201455","比布町",1,1
"201456","愛別町",1,1
"201457","上川町",1,1
"201458","東川町",1,1
"201459","美瑛町",1,1
"201460","上富良野町",1,1
"201461","中富良野町",1,1
"201462","南富良野町",1,1
"201463","占冠村",1,1
"201464","和寒町",1,1
"201465","剣淵町",1,1
"201468","下川町",1,1
"201469","美深町",1,1
"201470","音威子府村",1,1
"201471","中川町",1,1
"201472","幌加内町",1,1
"201481","増毛町",1,1
"201482","小平町",1,1
"201483","苫前町",1,1
"201484","羽幌町",1,1
"201485","初山別村",1,1
"201486","遠別町",1,1
"201487","天塩町",1,1
"201488","幌延町",1,1
"201511","猿払村",1,1
"201512","浜頓別町",1,1
"201513","中頓別町",1,1
"201514","枝幸町",1,1
"201516","豊富町",1,1
"201517","礼文町",1,1
"201518","利尻町",1,1
"201519","利尻富士町",1,1
"201520","幌延町",1,1
"201543","美幌町",1,1
"201544","津別町",1,1
"201545","斜里町",1,1
"201546","清里町",1,1
"201547","小清水町",1,1
"201549","訓子府町",1,1
"201550","置戸町",1,1
"201552","佐呂間町",1,1
"201555","遠軽町",1,1
"201558","上湧別町",1,1
"201559","湧別町",1,1
"201560","滝上町",1,1
"201561","興部町",1,1
"201562","西興部村",1,1
"201563","雄武町",1,1
"201564","大空町",1,1
"201571","豊浦町",1,1
"201575","壮瞥町",1,1
"201578","白老町",1,1
"201581","厚真町",1,1
"201584","洞爺湖町",1,1
"201585","安平町",1,1
"201586","むかわ町",1,1
"201601","日高町",1,1
"201602","平取町",1,1
"201604","新冠町",1,1
"201607","浦河町",1,1
"201608","様似町",1,1
"201609","えりも町",1,1
"201610","新ひだか町",1,1
"201631","音更町",1,1
"201632","士幌町",1,1
"201633","上士幌町",1,1
"201634","鹿追町",1,1
"201635","新得町",1,1
"201636","清水町",1,1
"201637","芽室町",1,1
"201638","中札内村",1,1
"201639","更別村",1,1
"201641","大樹町",1,1
"201642","広尾町",1,1
"201643","幕別町",1,1
"201644","池田町",1,1
"201645","豊頃町",1,1
"201646","本別町",1,1
"201647","足寄町",1,1
"201648","陸別町",1,1
"201649","浦幌町",1,1
"201661","釧路町",1,1
"201662","厚岸町",1,1
"201663","浜中町",1,1
"201664","標茶町",1,1
"201665","弟子屈町",1,1
"201667","鶴居村",1,1
"201668","白糠町",1,1
"201691","別海町",1,1
"201692","中標津町",1,1
"201693","標津町",1,1
"201694","羅臼町",1,1
"201696","泊村",1,1
"202","青森県庁",2,2
"202051","青森県　東青県土整備事務所",2,2
"202052","青森県　中南県土整備事務所",2,2
"202053","青森県　三八県土整備事務所",2,2
"202054","青森県　西北県土整備事務所",2,2
"202055","青森県　上北県土整備事務所",2,2
"202056","青森県　下北県土整備事務所",2,2
"202057
","青森県　西北県土整備事務所　鰺ヶ沢道路河川事業所",2,2
"202201","青森市",2,2
"202202","弘前市",2,2
"202203","八戸市",2,2
"202204","黒石市",2,2
"202205","五所川原市",2,2
"202206","十和田市",2,2
"202207","三沢市",2,2
"202208","むつ市",2,2
"202209","つがる市",2,2
"202210","平川市",2,2
"202301","平内町",2,2
"202303","今別町",2,2
"202304","蓬田村",2,2
"202307","外ヶ浜町",2,2
"202321","鰺ヶ沢町",2,2
"202323","深浦町",2,2
"202343","西目屋村",2,2
"202361","藤崎町",2,2
"202362","大鰐町",2,2
"202367","田舎館村",2,2
"202381","板柳町",2,2
"202384","鶴田町",2,2
"202387","中泊町",2,2
"202401","野辺地町",2,2
"202402","七戸町（七戸庁舎）",2,2
"202405","六戸町",2,2
"202406","横浜町",2,2
"202408","東北町",2,2
"202411","六ヶ所村",2,2
"202412","おいらせ町",2,2
"202423","大間町",2,2
"202424","東通村",2,2
"202425","風間浦村",2,2
"202426","佐井村",2,2
"202441","三戸町",2,2
"202442","五戸町",2,2
"202443","田子町",2,2
"202445","南部町",2,2
"202446","階上町",2,2
"202450","新郷村",2,2
"202800","青森県道路公社",2,2
"203","岩手県庁",2,3
"203051","岩手県　盛岡広域振興局　土木部　管理課",2,3
"203052","岩手県　県南広域振興局　土木部　花巻土木センター　管理課",2,3
"203053","岩手県　県南広域振興局　土木部　北上土木センター　管理課",2,3
"203054","岩手県　県南広域振興局　土木部　管理課",2,3
"203055","岩手県　県南広域振興局　土木部　一関土木センター　管理課",2,3
"203056","岩手県　県南広域振興局　土木部　千厩土木センター　管理課",2,3
"203057","岩手県　沿岸広域振興局　土木部　大船渡土木センター　管理課",2,3
"203058","岩手県　県南広域振興局　土木部　遠野土木センター　管理用地課",2,3
"203059","岩手県　沿岸広域振興局　土木部　管理課",2,3
"203060","岩手県　沿岸広域振興局　土木部　宮古土木センター　管理課",2,3
"203061","岩手県　沿岸広域振興局　土木部　岩泉土木センター　管理課",2,3
"203062","岩手県　県北広域振興局　土木部　管理課",2,3
"203063","岩手県　県北広域振興局　土木部　二戸土木センター　管理課",2,3
"203064","岩手県　盛岡広域振興局　土木部　岩手土木センター　管理用地課",2,3
"203201","盛岡市",2,3
"203202","宮古市",2,3
"203203","大船渡市",2,3
"203205","花巻市",2,3
"203206","北上市",2,3
"203207","久慈市",2,3
"203208","遠野市",2,3
"203209","一関市",2,3
"203210","陸前高田市",2,3
"203211","釜石市",2,3
"203213","二戸市",2,3
"203214","八幡平市",2,3
"203215","奥州市",2,3
"203216","滝沢市",2,3
"203301","雫石町",2,3
"203302","葛巻町",2,3
"203303","岩手町",2,3
"203305","滝沢村",2,3
"203321","紫波町",2,3
"203322","矢巾町",2,3
"203366","西和賀町",2,3
"203381","金ケ崎町",2,3
"203402","平泉町",2,3
"203441","住田町",2,3
"203461","大槌町",2,3
"203482","山田町",2,3
"203483","岩泉町",2,3
"203484","田野畑村",2,3
"203485","普代村",2,3
"203487","川井村",2,3
"203501","軽米町",2,3
"203503","野田村",2,3
"203506","九戸村",2,3
"203507","洋野町",2,3
"203524","一戸町",2,3
"204","宮城県庁",2,4
"204051","宮城県　大河原土木事務所",2,4
"204052","宮城県　仙台土木事務所",2,4
"204054","宮城県　北部土木事務所",2,4
"204055","宮城県　北部土木事務所栗原地域事務所",2,4
"204056","宮城県　東部土木事務所登米地域事務所",2,4
"204057","宮城県　東部土木事務所",2,4
"204058","宮城県　気仙沼土木事務所",2,4
"204100","仙台市",2,4
"2041008000","仙台市道路公社",2,4
"204202","石巻市",2,4
"204203","塩竈市",2,4
"204205","気仙沼市",2,4
"204206","白石市",2,4
"204207","名取市",2,4
"204208","角田市",2,4
"204209","多賀城市",2,4
"204211","岩沼市",2,4
"204212","登米市",2,4
"204213","栗原市",2,4
"204214","東松島市",2,4
"204215","大崎市",2,4
"204216","富谷市",2,4
"204301","蔵王町",2,4
"204302","七ヶ宿町",2,4
"204321","大河原町",2,4
"204322","村田町",2,4
"204323","柴田町",2,4
"204324","川崎町",2,4
"204341","丸森町",2,4
"204361","亘理町",2,4
"204362","山元町",2,4
"204401","松島町",2,4
"204404","七ヶ浜町",2,4
"204406","利府町",2,4
"204421","大和町",2,4
"204422","大郷町",2,4
"204423","富谷町",2,4
"204424","大衡村",2,4
"204444","色麻町",2,4
"204445","加美町",2,4
"204501","涌谷町",2,4
"204505","美里町",2,4
"204581","女川町",2,4
"204603","本吉町",2,4
"204606","南三陸町",2,4
"204800","宮城県道路公社",2,4
"205","秋田県庁",2,5
"205041","秋田県　鹿角地域振興局",2,5
"205042","秋田県　北秋田地域振興局",2,5
"205043","秋田県　山本地域振興局",2,5
"205044","秋田県　秋田地域振興局",2,5
"205045","秋田県　由利地域振興局",2,5
"205046","秋田県　仙北地域振興局",2,5
"205047","秋田県　平鹿地域振興局",2,5
"205048","秋田県　雄勝地域振興局",2,5
"205201","秋田市",2,5
"205202","能代市",2,5
"205203","横手市",2,5
"205204","大館市",2,5
