Rosen,Kyori,S_Kosaten,E_Kosaten,Kiten_Kyori,Bunri,Encho,L_Fukuin,L_T,L_T350,L_T300,L_T175,L_T150,C_T,R_T150,R_T175,R_T300,R_T350,R_T,R_Fukuin,Seigen,Chisaki_Knj,Kouzou_Knj
"00000200007000",3822,"5739440004","5739540027",3.822,3,0.34200001,3.5,4.0999999,4.0999999,4.5,5.3000002,5.4000001,5.6999998,5.4000001,5.3000002,4.5,4.0999999,4.0999999,3.5,0,"村上市大毎","大毎トンネル"
"00000200007000",4713,"5739740049","5839040006",4.7129998,3,0.041000001,3.25,3.95,0,4.25,5.0999999,5.1999998,5.5,5.1999998,5.0999999,4.25,0,3.95,3.25,3.8,"鶴岡市五十川字浜千鳥","五十川南トンネル"
"00000200007000",4984,"5839050009","5839050014",4.9840002,3,0.183,3.25,4.4499998,0,4.6999998,5.5999999,5.6500001,6,5.6500001,5.5999999,4.6999998,0,4.4499998,3.25,0,"鶴岡市三瀬字横町","釜谷トンネル"
"00000200007000",8307,"5739340003","5739440004",8.3070002,3,0.31999999,3.5,4.0999999,4.0999999,4.6999998,5.4000001,5.5999999,5.8000002,5.5999999,5.4000001,4.6999998,4.0999999,4.0999999,3.5,0,"村上市蒲萄","蒲萄トンネル"
"00000200007031",0,"6040340386","604045F001",0,3,2.9879999,4.5,4.52,6.0900002,5.6300001,4.46,4.46,6.6999998,4.7600002,4.4400001,4.54,5.3400002,4.3499999,4.5,0,"大館市大茂内","大茂内第二トンネル"
"00000200007031",0,"6040340386","604045F001",0,3,0.29499999,4.5,4.52,5.54,5.8800001,6.4499998,6.52,6.6999998,6.46,6.3800001,5.7600002,5.4000001,4.3400002,4.5,0,"大館市釈迦内","釈迦内トンネル"
"00000200007031",0,"6040340386","604045F001",0,3,1.823,5,4.3200002,5.8899999,6.2199998,6.75,6.8200002,6.9899998,6.7600002,6.6799998,6.0500002,5.6799998,4.5700002,4.5,0,"大館市大茂内","大茂内第一トンネル"
"00000200007031",0,"6040340386","604045F001",0,3,1.849,4.5,5.1500001,6.0300002,6.3299999,6.8200002,6.8800001,6.9899998,6.6999998,6.6100001,5.9400001,5.54,4.4099998,4.5,0,"大館市雪沢","雪沢第二トンネル"
"00000200007031",0,"6040340386","604045F001",0,3,2.553,4.5,4.4200001,5.3299999,5.6500001,6.1599998,6.23,6.3800001,6.1500001,6.0700002,5.48,5.1300001,4.1799998,4.5,0,"大館市雪沢","雪沢第一トンネル"
"00000200007031",3225,"6040230145","6040240139",3.2249999,3,0.56199998,4.2600002,4.3800001,5.0300002,5.5700002,5.8699999,5.9499998,6.1500001,6,5.9400001,5.4200001,5.1500001,4.5300002,4.2600002,0,"北秋田市栄","栄トンネル"
"00000200008000",0,"5537350024","5537350034",0,3,0.30399999,3.25,4.0999999,0,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,0,4.0999999,3.25,4.0999999,"糸魚川市宮花～歌","高さ制限装置"
"00000200008000",0,"5537350025","5537350024",0,3,0.25,3.25,4.0999999,0,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,0,4.0999999,3.25,4.0999999,"糸魚川市宮花～歌","高さ制限装置"
"00000200008000",0,"5537350034","5537350042",0,3,5.3520002,3.25,4.0999999,0,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,0,4.0999999,3.25,4.0999999,"糸魚川市歌～市振","高さ制限装置"
"00000200008000",0,"5537450012","5537350025",0,3,1.272,3.75,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,3.75,4.0999999,"糸魚川市宮花～歌","高さ制限装置"
"00000200008000",123,"5236720070","5236720294",0.123,3,0.23,3.5,4.0999999,4.0999999,4.54,4.9000001,5.3499999,5.4899998,5.3400002,4.9000001,4.5100002,4.0999999,4.0999999,3.5,0,"彦根市佐和山町坂ノ谷","佐和山隧道"
"00000200008000",175,"5537460019","5537450012",0.175,3,4.7290001,3.25,4.0999999,0,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,4.0999999,0,4.0999999,3.25,4.0999999,"糸魚川市宮花～歌","高さ制限装置"
"00000200008000",544,"5336110142","5336110133",0.54400003,3,0.85000002,3.25,4.48,0,4.8600001,4.8600001,4.8600001,4.8600001,4.8600001,4.8600001,4.8600001,0,4.8600001,3.25,0,"長浜市木之本町飯浦","賎ケ岳隧道"
"00000200008000",551,"5536060125","5536060106",0.551,3,0.95700002,3.5,4.3000002,4.3000002,5.0999999,5.9499998,6.0999999,6.3000002,6.0999999,5.9499998,5.0999999,4.3000002,4.3000002,3.5,0,"小矢部市安楽寺","倶利伽羅隧道"
"00000200008000",2299,"5537350034","5537350042",2.299,3,0.73400003,3.25,4.27,0,4.75,5.7199998,5.8200002,6.0999999,5.79,5.6799998,4.75,0,4.1500001,3.25,0,"糸魚川市市振","天険隧道"
"00000200008000",3520,"5336400018","533640F002",3.52,3,0.097000003,3.1500001,4.2199998,0,4.4099998,5.4000001,5.52,5.8200002,5.52,5.4000001,4.4099998,0,4.1500001,3.2,0,"敦賀市黒崎","黒崎隧道"
"00000200008000",3830,"5638030020","5538730039",3.8299999,3,0.34999999,3.25,3.5999999,0,4.1999998,5.0999999,5.1999998,5.5,5.1999998,5.0999999,4.1999998,0,3.5999999,3.25,3.8,"柏崎市米山町","米山トンネル"
"00000200008000",3940,"5336500015","5336400018",3.9400001,3,0.34,3.3,4.46,0,4.8400002,5.8699999,6,6.4099998,6.1999998,6.1199999,5.4200001,0,5.1199999,3.3499999,0,"南越前町大谷","大谷第二隧道"
"00000200008000",4345,"5336500015","5336400018",4.3449998,3,0.31,3.2,4.23,0,4.48,5.4699998,5.5900002,5.8800001,5.5700002,5.4499998,4.4299998,0,4.3600001,3.05,0,"南越前町大谷","大谷第三隧道"
"00000200008000",4845,"5336500015","5336400018",4.8449998,3,0.19599999,3.45,4.3800001,0,4.96,5.9000001,6.0100002,6.3200002,6.0999999,6.0100002,5.2399998,4.71,4.71,3.5,0,"南越前町大谷","大谷第四隧道"
"00000200008000",5088,"5336500015","5336400018",5.0879998,3,0.227,3.5,4.5799999,4.5799999,5.1300001,5.8699999,5.9499998,6.1500001,5.8600001,5.7600002,4.8899999,0,4.4200001,3.4000001,0,"南越前町大谷","大谷第五隧道"
"00000200008000",6200,"5336500015","5336400018",6.1999998,3,0.73500001,3.05,4.1599998,0,4.2199998,5.1999998,5.3099999,5.6100001,5.2800002,5.1599998,4.1799998,0,3.99,3.1500001,0,"敦賀市元比田","敦賀隧道"
"00000200008000",6750,"5336610024","5336500015",6.75,3,0.127,3.1500001,4.1900001,0,4.3899999,5.4000001,5.5100002,5.8000002,5.48,5.3600001,4.3000002,0,4.3000002,3,0,"南越前町具谷","具谷第一隧道"
"00000200008000",7040,"5336610024","5336500015",7.04,3,0.088,3.05,4.2199998,0,4.2800002,5.3099999,5.4299998,5.77,5.4699998,5.3499999,4.3299999,0,4.21,3.0999999,0,"南越前町具谷","具谷第二隧道"
"00000200008031",290,"5336400031","5336300062",0.28999999,3,0.62300003,3.2,3.8499999,0,4.1399999,5.23,5.3600001,5.77,5.5799999,5.5,4.73,4.1999998,4.1999998,3.5,0,"敦賀市鞠山町","鞠山隧道"
"00000200008031",1260,"5336400031","5336300062",1.26,3,0.29100001,3,3.98,0,3.98,5.1700001,5.3099999,5.7800002,5.6700001,5.5999999,0,0,5.1199999,2.75,0,"敦賀市金ケ崎町","金ケ崎隧道"
"00000200009000",121,"5232630023","5232630055",0.121,3,0.059999999,3.1700001,4.46,0,4.5599999,5.9499998,5.96,6.4200001,5.96,5.9499998,4.5599999,0,4.46,3.1700001,0,"大田市五十猛町字荒神山","湊トンネル"
"00000200009000",214,"5334230056","5334230028",0.214,3,0.107,3.25,4,0,4.25,5.0999999,5.27,5.6500001,5.27,5.0999999,4.25,0,4,3.25,3.8,"新温泉町歌長","温泉トンネル"
"00000200009000",300,"5334200035","5334200022",0.30000001,3,0.145,3.25,4.8000002,0,5.25,5.5,5.75,6,5.5999999,5.1999998,4.8000002,0,4.3000002,3.25,0,"鳥取市小沢見","白兎トンネル"
"00000200009000",308,"5232630023","5232630055",0.308,3,0.147,3.25,4.0500002,0,4.5,5.8000002,5.9499998,6.4000001,6,5.8000002,4.5,0,4.0500002,3.25,0,"大田市五十猛町字荒神山","五十猛トンネル"
"00000200009000",364,"5232520023","5232420027",0.36399999,3,0.142,3.1700001,4.3099999,0,4.48,5.71,5.8699999,6.3699999,5.8699999,5.71,4.48,0,4.3099999,3.1700001,0,"大田市温泉津町小浜","小浜トンネル"
"00000200009000",490,"5232420027","5232420025",0.49000001,3,0.182,3.01,4.4000001,0,4.4000001,5.6999998,5.9000001,6.3000002,5.9000001,5.6999998,4.2199998,0,4.2199998,3.01,0,"大田市温泉津町小浜","温泉津トンネル"
"00000200009000",970,"5232530337","5232520008",0.97000003,3,0.43399999,3.01,4.2800002,0,4.2800002,5.7800002,5.96,6.52,5.96,5.7800002,4.2800002,0,4.25,3.1700001,0,"大田市大字小浜","清水トンネル"
"00000200009000",1251,"5334140065","5334140037",1.251,3,0.79000002,3.25,4.1500001,0,4.25,4.9699998,5.1199999,5.5500002,5.1199999,4.9699998,4.25,0,4.1500001,3.25,3.95,"香美町村岡区用野","村岡トンネル"
"00000200009000",1865,"5131240039","5131240027",1.865,3,0.15099999,3.0999999,4.3000002,0,4.4000001,5.3499999,5.4499998,5.8899999,5.6100001,5.5100002,4.6599998,0,4.4200001,3.2,0,"山口市大字宮野上","杖坂隧道"
"00000200009000",1902,"5334060224","5334060019",1.902,3,0.226,3.25,4.4899998,0,4.5999999,5.0500002,5.1500001,5.4000001,5.1500001,5.0500002,4.5999999,0,4.4899998,3.25,4.3000002,"朝来市和田山町土田","和田山トンネル"
"00000200009000",2335,"5131240039","5131240027",2.335,3,0.094999999,3,4.3000002,0,4.3000002,5.1999998,5.3000002,5.5999999,5.3699999,5.2199998,4.3200002,0,4.3000002,3.02,0,"山口市大字宮野上","真琴隧道"
