交差点番号,管理者名,交差点名,地先名,緯度,経度,整理番号,備考
6240550044,北海道開発局 函館開発建設部,,北斗市七重浜八丁目２６,41.82211815,140.6850815,,
6240550058,渡島総合振興局 函館建設管理部,,函館市入舟町,41.77156773,140.701046,,
6240550061,渡島総合振興局 函館建設管理部,,函館市入舟町,41.77336007,140.701046,,
6240550062,函館市,,函館市弁天町２０番８３,41.77400018,140.701046,,
6240550070,函館市,,函館市入舟町３番２５,41.77400018,140.7024193,,
6240550072,渡島総合振興局 函館建設管理部,,函館市入舟町,41.77336007,140.7024193,,
6240550073,函館市,,函館市入舟町９番７,41.77207984,140.7024193,,
6240550086,函館市,,函館市船見町１２番２,41.76887913,140.7034492,,
6240550123,渡島総合振興局 函館建設管理部,,函館市弁天町１８,41.77220786,140.7056808,,
6240550136,函館市,,函館市弁天町２２,41.77284798,140.7063675,,
6240550138,201236,,北斗市七重浜二丁目４１,41.81751267,140.7065392,,
6240550141,渡島総合振興局 函館建設管理部,,函館市弁天町,41.77182378,140.7065392,,
6240550160,渡島総合振興局 函館建設管理部,,函館市弁天町１５－１９,41.77118365,140.7073975,,
6240550184,渡島総合振興局 函館建設管理部,,北斗市七重浜２丁目,41.81700093,140.7087708,,
6240550188,函館市,,函館市弁天町２６番１号,41.77259193,140.7089424,,
6240550200,函館市,,函館市弁天町１６番１５,41.77464029,140.7094574,,
6240550242,渡島総合振興局 函館建設管理部,,函館市弁天町１４,41.76721469,140.7113457,,
6240550246,函館市,,函館市谷地頭町２,41.75551057,140.7116474,,
6240550256,函館市,,函館市大町１０,41.75389768,140.711689,,
6240550272,函館市,,函館市元町３,41.7679829,140.712204,,
6240550273,函館市,,函館市港町３丁目１９番５号,41.76234918,140.7128906,,
6240550278,函館市,,函館市谷地頭町８,41.80887996,140.7130637,,
6240550282,函館市,,函館市元町２,41.76170896,140.7134056,,
6240550289,函館市,,函館市谷地頭町１２,41.7535135,140.7135773,,
6240550294,函館市,,函館市元町１,41.76094068,140.7139206,,
