小字名,QGIS_ID,地番,version,大字名,市町村C,測地判別,予備名,丁目名,市町村名,center_lng,center_lat
字北兵村三区,01558無地番-10,無地番-10,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.595885,44.193057
字北兵村三区,01558道-27,道-27,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.608885,44.19207
字上富美,01558無地番-7,無地番-7,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.457912,44.090594
字上富美,01558無地番-18,無地番-18,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.483451,44.109959
字上富美,01558無地番-2,無地番-2,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.442653,44.096111
字富美,01558無地番-1,無地番-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.509708,44.151656
字富美,01558無地番-23,無地番-23,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.470528,44.143494
字旭,01558無地番-2,無地番-2,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.578085,44.18933
字旭,01558無地番-15,無地番-15,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.562075,44.195801
字札富美,01558無地番-3,無地番-3,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.554855,44.167919
字札富美,01558無地番-4,無地番-4,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.558164,44.181137
字札富美,01558無地番-5,無地番-5,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.560606,44.179837
字旭,01558長狭物不明-3012,長狭物不明-3012,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.559871,44.190875
字屯田市街地,01558道-2,道-2,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.571842,44.149197
字屯田市街地,01558道-66,道-66,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.57069,44.14752
字屯田市街地,01558道-60,道-60,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.569102,44.146781
字北兵村一区,01558無地番-1,無地番-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.581441,44.17911
字北兵村一区,01558無地番-2,無地番-2,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.581256,44.179148
字北兵村一区,01558無地番-3,無地番-3,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.580351,44.178321
字北兵村一区,01558無地番-4,無地番-4,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.573163,44.178549
字北兵村一区,01558無地番-7,無地番-7,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.57788,44.173375
字北兵村一区,01558無地番-8,無地番-8,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.573173,44.171409
字北兵村一区,01558無地番-9,無地番-9,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.573012,44.171435
字北兵村一区,01558長狭物不明-1,長狭物不明-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.568227,44.168816
字北兵村一区,01558長狭物不明-2,長狭物不明-2,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.568003,44.169013
字北兵村一区,01558長狭物不明-3,長狭物不明-3,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.560634,44.167219
字北兵村一区,01558長狭物不明-5,長狭物不明-5,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.571601,44.175681
字北兵村一区,01558長狭物不明-7,長狭物不明-7,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.573013,44.177982
字北兵村一区,01558長狭物不明-10,長狭物不明-10,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.580153,44.181188
字北兵村一区,01558長狭物不明-11,長狭物不明-11,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.577511,44.181374
字北兵村一区,01558長狭物不明-13,長狭物不明-13,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.574873,44.172336
字北兵村一区,01558長狭物不明-14,長狭物不明-14,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.57748,44.174591
字北兵村二区,01558長狭物不明-15,長狭物不明-15,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.62226,44.18361
字屯田市街地,01558無地番-10,無地番-10,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.564321,44.148229
字屯田市街地,01558道-8,道-8,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.582124,44.142714
字屯田市街地,01558道-9,道-9,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.564921,44.14247
字屯田市街地,01558道-10,道-10,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.566459,44.142489
字屯田市街地,01558道-68,道-68,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.566568,44.147438
字屯田市街地,01558水-6,水-6,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.581447,44.149772
字屯田市街地,01558水-7,水-7,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.578563,44.148465
字屯田市街地,01558水-8,水-8,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.579313,44.149229
字屯田市街地,01558水-9,水-9,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.572261,44.144071
字屯田市街地,01558水-10,水-10,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.576108,44.145699
字屯田市街地,01558水-11,水-11,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.578918,44.146459
字屯田市街地,01558水-12,水-12,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.56673,44.142347
字屯田市街地,01558水-13,水-13,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.579028,44.141895
字屯田市街地,01558水-20,水-20,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.572449,44.145299
字屯田市街地,01558長狭物不明-17,長狭物不明-17,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.569185,44.150159
字屯田市街地,01558長狭物不明-18,長狭物不明-18,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.577671,44.153849
字屯田市街地,01558長狭物不明-19,長狭物不明-19,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.581118,44.147482
字屯田市街地,01558道-6,道-6,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.576714,44.149677
字屯田市街地,01558道-1,道-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.57223,44.156616
字北兵村二区,01558長狭物不明-16,長狭物不明-16,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.627867,44.180025
字屯田市街地,01558道-11,道-11,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.573118,44.139844
字屯田市街地,01558道-67,道-67,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.5743,44.144968
