面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
0.59,12,0051,None,None,0,04,00,1,27,None,99120000950051,None,12095510,0095,None,26.0,01,11,140.560009,42.613539
2.31,12,0066,None,None,0,04,00,1,2,None,99120000950066,None,12095660,0095,None,23.0,01,11,140.570848,42.609033
2.54,12,0056,None,None,0,04,00,1,63,None,99120000950056,None,12095560,0095,None,23.0,01,11,140.572257,42.60815
8.23,12,0064,None,None,0,04,00,1,52,None,99120000950064,None,12095640,0095,None,23.0,01,11,140.573726,42.600759
4.28,12,0062,None,None,0,04,00,1,59,None,99120000950062,None,12095620,0095,None,2.0,01,11,140.571868,42.601891
1.13,12,0052,None,None,0,04,00,1,90,None,99120000950052,None,12095520,0095,None,23.0,01,11,140.569866,42.603485
3.93,12,0002,None,None,0,04,00,2,133,None,99120000950002,None,12095020,0095,None,98.0,01,11,140.571299,42.603081
8.23,12,0064,None,None,0,04,00,1,52,None,99120000950064,None,12095640,0095,None,23.0,01,11,140.575424,42.599058
1.43,12,0055,None,None,2,04,00,1,63,None,99120000950055,None,12095550,0095,None,23.0,01,11,140.56229,42.605189
17.76,12,0009,None,None,0,04,00,2,133,None,99120000950009,None,12095090,0095,None,98.0,01,11,140.566671,42.605633
1.13,12,0052,None,None,0,04,00,1,90,None,99120000950052,None,12095520,0095,None,23.0,01,11,140.571279,42.602742
2.93,12,0067,None,None,0,04,00,1,60,None,99120000950067,None,12095670,0095,None,23.0,01,11,140.576004,42.60274
4.29,12,0061,None,None,0,04,00,1,60,None,99120000950061,None,12095610,0095,None,23.0,01,11,140.575164,42.601911
4.29,12,0061,None,None,0,04,00,1,60,None,99120000950061,None,12095610,0095,None,23.0,01,11,140.575083,42.60339
4.28,12,0062,None,None,0,04,00,1,59,None,99120000950062,None,12095620,0095,None,2.0,01,11,140.57907,42.604406
8.23,12,0064,None,None,0,04,00,1,52,None,99120000950064,None,12095640,0095,None,23.0,01,11,140.5727,42.599853
3.8,12,0004,None,None,0,04,00,2,133,None,99120000950004,None,12095040,0095,None,98.0,01,11,140.564475,42.603784
1.43,12,0055,None,None,2,04,00,1,63,None,99120000950055,None,12095550,0095,None,23.0,01,11,140.563341,42.603781
1.13,12,0052,None,None,0,04,00,1,90,None,99120000950052,None,12095520,0095,None,23.0,01,11,140.567505,42.603028
6.67,12,0010,None,None,0,04,00,2,133,None,99120000960010,None,12096100,0096,None,98.0,01,1,140.627622,42.591528
6.67,12,0010,None,None,0,04,00,2,133,None,99120000960010,None,12096100,0096,None,98.0,01,1,140.626573,42.593028
6.67,12,0010,None,None,0,04,00,2,133,None,99120000960010,None,12096100,0096,None,98.0,01,1,140.626592,42.594732
0.99,12,0052,None,None,0,04,00,1,61,None,99120000960052,None,12096520,0096,None,23.0,01,1,140.626302,42.594292
6.67,12,0010,None,None,0,04,00,2,133,None,99120000960010,None,12096100,0096,None,98.0,01,1,140.625409,42.594247
2.0,12,0054,None,None,0,04,00,1,45,None,99120000960054,None,12096540,0096,None,23.0,01,1,140.626876,42.587173
17.22,12,0021,None,None,0,04,00,2,133,None,99120000960021,None,12096210,0096,None,98.0,01,1,140.625572,42.584781
15.78,12,0058,None,None,0,04,00,1,35,None,99120000960058,None,12096580,0096,None,23.0,01,12,140.621557,42.589998
1.93,12,0059,None,None,0,04,00,1,34,None,99120000970059,None,12097590,0097,None,23.0,01,12,140.604411,42.593246
9.34,12,0058,None,None,0,04,00,1,36,None,99120000970058,None,12097580,0097,None,23.0,01,12,140.607567,42.593604
9.34,12,0058,None,None,0,04,00,1,36,None,99120000970058,None,12097580,0097,None,23.0,01,12,140.610172,42.594132
1.91,12,0055,None,None,0,04,00,1,36,None,99120000960055,None,12096550,0096,None,23.0,01,12,140.612078,42.592561
1.89,12,0056,None,None,0,04,00,1,36,None,99120000960056,None,12096560,0096,None,23.0,01,12,140.611277,42.59071
1.89,12,0056,None,None,0,04,00,1,36,None,99120000960056,None,12096560,0096,None,23.0,01,12,140.613358,42.590478
0.91,12,0057,None,None,0,04,00,1,36,None,99120000960057,None,12096570,0096,None,23.0,01,12,140.610515,42.589812
